gnb,2009,13
gnb,2008,9
gnb,2007,6
gnb,2006,3
gnb,2005,1
gnb,2004,0
gnb,2003,0
gnb,2002,0
gnb,2001,0
gnb,2000,0
gnb,1999,0
gnb,1998,0
det,2014,77
det,2013,36
det,2012,19
det,2011,13
det,2010,10
det,2009,7
det,2008,4
det,2007,3
det,2006,2
det,2005,2
det,2004,2
det,2003,1
det,2002,1
det,2001,1
det,2000,0
det,1999,0
det,1998,0
min,2014,79
min,2013,39
min,2012,25
min,2011,15
min,2010,8
min,2009,6
min,2008,5
min,2007,4
min,2006,1
min,2005,1
min,2004,1
min,2003,0
min,2002,0
min,2001,0
min,2000,0
min,1999,0
min,1998,0
chi,2014,72
chi,2013,28
chi,2012,14
chi,2011,10
chi,2010,7
chi,2009,6
chi,2008,5
chi,2007,4
chi,2006,4
chi,2005,4
chi,2004,2
chi,2003,2
chi,2002,0
chi,2001,0
chi,2000,0
chi,1999,0
chi,1998,0
car,2014,76
car,2013,36
car,2012,25
car,2011,12
car,2010,6
car,2009,5
car,2008,4
car,2007,3
car,2006,1
car,2005,0
car,2004,0
car,2003,0
car,2002,0
car,2001,0
car,2000,0
car,1999,0
car,1998,0
nor,2014,79
nor,2013,39
nor,2012,22
nor,2011,13
nor,2010,11
nor,2009,6
nor,2008,5
nor,2007,5
nor,2006,4
nor,2005,0
nor,2004,0
nor,2003,0
nor,2002,0
nor,2001,0
nor,2000,0
nor,1999,0
nor,1998,0
atl,2014,75
atl,2013,37
atl,2012,23
atl,2011,16
atl,2010,13
atl,2009,8
atl,2008,6
atl,2007,3
atl,2006,2
atl,2005,2
atl,2004,0
atl,2003,0
atl,2002,0
atl,2001,0
atl,2000,0
atl,1999,0
atl,1998,0
tam,2014,74
tam,2013,22
tam,2012,12
tam,2011,7
tam,2010,1
tam,2009,0
tam,2008,0
tam,2007,0
tam,2006,0
tam,2005,0
tam,2004,0
tam,2003,0
tam,2002,0
tam,2001,0
tam,2000,0
tam,1999,0
tam,1998,0
sea,2014,75
sea,2013,41
sea,2012,27
sea,2011,20
sea,2010,8
sea,2009,3
sea,2008,2
sea,2007,1
sea,2006,0
sea,2005,0
sea,2004,0
sea,2003,0
sea,2002,0
sea,2001,0
sea,2000,0
sea,1999,0
sea,1998,0
crd,2014,77
crd,2013,35
crd,2012,15
crd,2011,12
crd,2010,8
crd,2009,6
crd,2008,4
crd,2007,3
crd,2006,2
crd,2005,2
crd,2004,2
crd,2003,0
crd,2002,0
crd,2001,0
crd,2000,0
crd,1999,0
crd,1998,0
sfo,2014,84
sfo,2013,39
sfo,2012,24
sfo,2011,20
sfo,2010,14
sfo,2009,9
sfo,2008,7
sfo,2007,6
sfo,2006,3
sfo,2005,2
sfo,2004,1
sfo,2003,0
sfo,2002,0
sfo,2001,0
sfo,2000,0
sfo,1999,0
sfo,1998,0
ram,2014,73
ram,2013,39
ram,2012,24
ram,2011,8
ram,2010,5
ram,2009,2
ram,2008,1
ram,2007,0
ram,2006,0
ram,2005,0
ram,2004,0
ram,2003,0
ram,2002,0
ram,2001,0
ram,2000,0
ram,1999,0
ram,1998,0
