nor,2009,74,67,132,80,10,1
atl,2014,31,28,54,42,2,0
atl,2013,30,30,77,59,4,0
atl,2012,16,15,130,100,2,1
atl,2011,45,44,104,76,6,0
atl,2010,40,40,65,45,1,0
atl,2009,36,34,82,48,8,0
tam,2014,38,31,97,40,4,0
tam,2013,56,49,66,38,4,0
tam,2012,48,38,37,25,2,1
tam,2011,48,42,73,36,5,1
tam,2010,43,38,58,28,1,0
tam,2009,52,46,62,35,5,1
sea,2014,41,39,103,44,3,1
sea,2013,40,39,78,44,4,1
sea,2012,36,32,88,51,1,0
sea,2011,40,33,75,41,4,0
sea,2010,33,31,78,41,5,0
sea,2009,36,34,47,22,5,0
crd,2014,62,60,72,48,10,3
crd,2013,46,41,81,64,4,0
crd,2012,64,63,148,102,4,0
crd,2011,30,25,100,56,5,0
crd,2010,37,32,80,57,3,0
crd,2009,87,80,84,51,2,0
sfo,2014,45,41,107,52,2,0
sfo,2013,69,65,104,79,4,2
sfo,2012,115,110,65,43,2,1
sfo,2011,38,36,67,50,5,0
sfo,2010,32,29,72,48,2,1
sfo,2009,57,52,64,35,2,1
ram,2014,34,28,82,46,1,0
ram,2013,16,15,83,44,4,3
ram,2012,13,11,91,59,3,2
ram,2011,30,26,89,52,14,1
ram,2010,26,24,77,44,3,0
ram,2009,27,23,65,45,5,0
